26;356;24;4;0;0
26;528;40;3;1;0
26;935;10;3;2;0
27;4;63;3;3;0
29;8;61;3;4;0
27;376;35;3;5;0
34;379;36;3;6;0
28;390;24;3;7;0
27;614;86;3;8;14
29;31;196;3;9;0
32;58;131;4;10;0
29;77;189;3;11;0
30;283;44;4;12;0
28;319;95;3;13;0
28;604;353;3;14;24
27;821;205;3;15;8
32;66;158;4;16;0
30;187;154;3;17;0
29;211;375;3;18;0
29;256;176;3;19;0
29;265;152;4;20;0
29;285;137;3;21;0
29;398;8;3;22;0
33;57;149;4;23;0
30;233;221;3;24;0
30;372;21;3;25;0
31;693;356;3;26;0
30;780;113;3;27;0
33;199;800;3;28;0
32;209;780;4;29;0
31;304;638;3;30;0
32;556;495;3;31;0
32;960;275;3;32;9
33;307;103;3;33;0
33;662;432;3;34;37
34;68;143;6;35;0
34;393;20;4;36;0
34;850;422;5;37;0
34;690;170;3;38;15
37;898;70;3;39;16
39;684;70;3;40;0
38;803;181;3;41;8
44;851;575;3;42;0
39;978;212;3;43;0
43;267;862;5;44;0
40;550;809;3;45;0
44;716;383;3;46;0
48;934;620;3;47;0
49;747;132;3;48;15
