32;168;86;3;0;0
34;413;28;3;1;0
35;761;582;3;2;21
36;774;144;3;3;0
39;408;845;3;4;0
39;542;756;3;5;6
45;944;689;3;6;35
46;876;467;3;7;0
15;398;787;6;8;0
28;1;36;10;9;0
28;6;24;24;10;0
27;14;51;6;11;0
30;15;52;3;12;0
26;616;129;8;13;13
27;1;134;4;14;0
30;11;218;16;15;0
32;12;219;5;16;0
27;15;1;6;17;0
29;16;1;5;18;0
29;132;196;3;19;0
29;155;272;4;20;0
29;485;23;5;21;2
29;188;229;4;22;0
28;245;161;3;23;0
27;559;157;3;24;13
29;773;27;14;25;7
27;789;12;4;26;7
31;29;850;8;27;22
31;133;714;9;28;0
33;182;63;4;29;3
35;183;57;5;30;3
31;254;195;13;31;0
29;408;280;3;32;19
37;475;917;14;33;12
31;474;919;9;34;12
40;473;919;6;35;12
36;464;921;8;36;12
29;803;78;3;37;0
29;824;49;3;38;16
30;26;813;3;39;22
33;34;914;4;40;0
31;33;914;3;41;0
33;57;173;13;42;0
31;149;761;5;43;0
30;220;135;4;44;0
31;330;52;3;45;0
32;391;962;7;46;0
32;393;947;8;47;0
31;511;947;7;48;12
32;521;906;11;49;12
30;590;66;3;50;14
43;600;22;5;51;14
43;604;24;3;52;14
46;596;21;3;53;14
29;661;609;3;54;0
33;870;737;3;55;39
34;123;731;17;56;0
37;126;760;4;57;0
34;124;764;4;58;0
37;304;270;10;59;5
31;301;275;6;60;5
31;410;205;3;61;11
31;484;935;4;62;12
32;517;943;8;63;12
31;772;100;3;64;0
37;841;56;3;65;16
35;997;67;7;66;0
36;47;704;12;67;0
34;122;65;5;68;3
34;140;805;6;69;0
33;226;159;3;70;0
34;323;293;4;71;5
34;363;59;6;72;0
34;746;3;6;73;7
36;741;0;3;74;7
33;744;0;3;75;7
31;800;189;3;76;0
32;890;0;3;77;16
37;919;12;3;78;16
40;912;14;3;79;16
35;70;157;4;80;0
34;147;573;4;81;4
35;176;718;7;82;0
35;240;588;10;83;4
39;235;590;3;84;4
34;297;907;3;85;17
35;318;281;3;86;5
34;359;409;6;87;10
38;358;405;5;88;10
34;364;410;3;89;10
35;605;960;5;90;33
32;643;663;3;91;29
48;647;529;4;92;25
48;651;529;3;93;25
32;710;234;3;94;15
33;811;330;3;95;26
34;903;151;4;96;8
43;903;157;3;97;8
35;26;932;3;98;0
37;57;860;8;99;22
34;123;74;4;100;3
35;301;304;3;101;5
40;402;331;3;102;19
37;404;332;3;103;19
43;402;333;3;104;19
41;409;331;3;105;19
40;404;334;3;106;19
37;616;938;13;107;0
34;694;466;3;108;0
33;765;175;3;109;0
34;789;55;5;110;7
35;785;539;4;111;21
38;799;452;4;112;34
36;26;776;4;113;22
37;25;718;6;114;0
37;75;727;7;115;0
40;75;727;4;116;0
42;71;733;5;117;0
36;80;899;5;118;0
38;110;717;14;119;0
36;125;787;4;120;0
37;127;797;5;121;0
39;160;868;4;122;23
36;171;502;3;123;0
36;317;913;4;124;17
34;346;57;3;125;0
37;481;889;10;126;0
42;479;884;8;127;0
35;502;32;3;128;2
43;543;931;7;129;0
36;547;930;5;130;0
37;726;805;12;131;38
39;723;806;3;132;38
40;722;804;4;133;38
35;752;70;5;134;7
34;813;838;3;135;0
38;847;50;5;136;16
37;850;47;4;137;16
41;848;49;3;138;16
37;58;934;7;139;0
37;78;817;4;140;22
36;209;660;3;141;4
39;433;740;4;142;18
39;122;718;9;143;0
36;268;335;3;144;5
36;404;242;3;145;11
41;482;500;6;146;20
41;481;495;4;147;20
44;483;501;3;148;20
39;519;891;7;149;0
38;622;176;6;150;0
39;870;498;11;151;0
38;928;598;9;152;0
38;943;270;13;153;0
36;8;894;3;154;22
41;10;898;3;155;22
40;47;918;7;156;0
42;460;192;3;157;11
40;477;867;14;158;0
40;489;884;13;159;0
48;493;885;7;160;0
38;524;539;3;161;20
40;533;366;3;162;0
40;532;898;10;163;0
40;532;909;8;164;0
40;589;401;3;165;24
38;648;474;3;166;37
39;672;957;4;167;33
39;702;267;3;168;32
40;709;437;10;169;34
37;366;192;3;170;11
40;396;966;10;171;0
38;482;760;3;172;6
39;485;507;3;173;20
40;486;876;10;174;0
40;494;908;8;175;12
47;499;887;14;176;0
42;502;893;11;177;0
41;525;898;8;178;0
41;732;713;5;179;29
39;729;710;3;180;29
45;737;714;5;181;29
39;773;154;3;182;0
40;773;382;3;183;26
38;809;17;3;184;16
42;884;422;3;185;30
40;992;17;3;186;0
40;996;855;6;187;0
42;103;797;6;188;0
46;102;794;5;189;0
47;458;220;4;190;11
41;559;918;8;191;0
45;672;733;6;192;29
46;669;734;3;193;29
42;728;321;3;194;26
45;733;323;3;195;26
41;769;119;3;196;0
41;805;155;6;197;8
42;810;152;6;198;8
44;806;160;3;199;8
46;858;707;4;200;39
52;854;707;5;201;39
42;861;886;4;202;40
41;867;885;3;203;40
41;936;688;4;204;35
42;936;681;3;205;35
43;422;946;9;206;12
41;493;17;4;207;2
41;547;905;5;208;0
43;567;943;7;209;0
45;572;474;5;210;37
44;644;604;8;211;25
48;642;598;4;212;25
45;7;673;5;213;0
42;481;913;3;214;12
41;705;778;3;215;31
44;733;748;4;216;0
41;761;498;3;217;0
43;774;10;3;218;7
42;913;149;3;219;8
44;19;731;3;220;0
46;68;901;5;221;0
44;98;831;8;222;22
45;465;906;5;223;12
43;626;328;3;224;24
43;642;219;4;225;0
46;656;522;3;226;25
44;672;952;7;227;33
48;839;863;3;228;40
45;388;218;5;229;11
46;455;924;8;230;12
47;556;946;8;231;0
46;622;926;12;232;0
44;720;859;3;233;38
44;977;911;5;234;44
52;979;904;4;235;44
45;483;898;4;236;12
47;667;811;4;237;31
44;694;801;3;238;31
44;936;271;3;239;0
47;510;900;4;240;0
48;566;897;6;241;0
49;596;944;12;242;0
47;602;435;3;243;37
51;856;926;10;244;0
47;856;927;6;245;0
48;852;933;4;246;43
49;859;932;4;247;43
52;861;931;3;248;43
52;855;935;3;249;43
46;960;768;3;250;41
50;978;708;4;251;35
49;53;880;6;252;22
49;67;892;4;253;0
49;524;866;5;254;0
49;538;960;7;255;12
50;544;57;12;256;0
46;546;318;3;257;0
48;553;903;4;258;0
49;569;925;9;259;0
48;579;957;7;260;0
49;651;935;7;261;0
48;729;426;4;262;34
44;812;866;3;263;0
47;906;526;7;264;27
50;15;813;5;265;22
50;490;925;5;266;12
48;582;468;3;267;37
49;643;229;3;268;0
50;664;951;8;269;33
47;822;126;3;270;8
47;159;868;3;271;23
50;448;623;3;272;0
49;631;213;3;273;0
49;753;317;3;274;26
54;798;962;4;275;43
49;946;420;3;276;30
52;472;937;7;277;12
50;610;926;3;278;0
51;725;370;5;279;26
50;987;960;3;280;44
51;910;423;4;281;30
52;912;427;3;282;30
54;22;862;6;283;22
54;48;830;6;284;22
52;344;645;3;285;0
54;605;486;7;286;37
53;19;834;4;287;22
54;670;271;3;288;32
53;847;325;3;289;0
56;617;935;4;290;0
57;415;262;4;291;0
58;495;943;5;292;12
57;315;721;3;293;0
56;532;486;3;294;0
58;800;886;4;295;0
67;719;317;4;296;32
