30;241;322;3;0;0
31;605;568;3;1;25
31;293;742;3;2;0
33;749;808;3;3;38
34;105;602;3;4;0
41;727;914;3;5;38
42;816;277;3;6;0
49;653;29;3;7;14
58;902;593;250;8;0
51;902;591;5;9;27
52;714;746;3;10;0
